att_id,candidate_cwe,score,rationale,feature_scores
T1055.011,CWE-590,0.2455,boost_common_term:memory,"{""title_sim"": 0.5084745762711864, ""desc_sim"": 0.11705329253129093, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03932584269662921}"
T1055.011,CWE-591,0.2356,boost_common_term:memory,"{""title_sim"": 0.4810126582278481, ""desc_sim"": 0.10883295052491926, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.043010752688172046}"
T1055.011,CWE-788,0.2339,boost_common_term:memory,"{""title_sim"": 0.5070422535211268, ""desc_sim"": 0.09094426774378597, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022598870056497175}"
T1053.005,CWE-1109,0.1476,boost_common_term:task,"{""title_sim"": 0.2142857142857143, ""desc_sim"": 0.09483263978472004, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024390243902439025}"
T1053.005,CWE-23,0.1437,,"{""title_sim"": 0.4324324324324324, ""desc_sim"": 0.02649517789896833, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.029940119760479042}"
T1053.005,CWE-252,0.1319,,"{""title_sim"": 0.38888888888888884, ""desc_sim"": 0.03402569743075239, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.025}"
T1205.002,CWE-790,0.1973,boost_common_term:filters,"{""title_sim"": 0.34615384615384615, ""desc_sim"": 0.12078728766704422, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.036231884057971016}"
T1205.002,CWE-793,0.1733,boost_common_term:filters,"{""title_sim"": 0.32258064516129037, ""desc_sim"": 0.07409452450540466, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02158273381294964}"
T1205.002,CWE-182,0.1640,boost_common_term:filters,"{""title_sim"": 0.25, ""desc_sim"": 0.11038030767520189, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.029197080291970802}"
T1066,CWE-1301,0.1825,boost_common_term:removal,"{""title_sim"": 0.4, ""desc_sim"": 0.04159984810424834, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1066,CWE-14,0.1668,,"{""title_sim"": 0.49275362318840576, ""desc_sim"": 0.0535546357671601, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014492753623188406}"
T1066,CWE-343,0.1650,,"{""title_sim"": 0.5, ""desc_sim"": 0.021561755081758, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04285714285714286}"
T1560.001,CWE-1220,0.1680,boost_common_term:via,"{""title_sim"": 0.36065573770491804, ""desc_sim"": 0.03270146448026319, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1560.001,CWE-603,0.1613,boost_common_term:via,"{""title_sim"": 0.34615384615384615, ""desc_sim"": 0.017433313318268986, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.010869565217391304}"
T1560.001,CWE-912,0.1514,,"{""title_sim"": 0.4615384615384615, ""desc_sim"": 0.035815641126922704, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01098901098901099}"
T1021.005,CWE-561,0.0531,,"{""title_sim"": 0.1666666666666667, ""desc_sim"": 0.004420563184075557, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008771929824561403}"
T1021.005,CWE-62,0.0511,,"{""title_sim"": 0.11764705882352942, ""desc_sim"": 0.03207374576552552, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03076923076923077}"
T1021.005,CWE-522,0.0494,,"{""title_sim"": 0.05128205128205124, ""desc_sim"": 0.07869756459218956, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05217391304347826}"
T1047,CWE-58,0.2113,boost_common_term:windows,"{""title_sim"": 0.4722222222222222, ""desc_sim"": 0.046045041027141076, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.028985507246376812}"
T1047,CWE-245,0.2102,boost_common_term:management,"{""title_sim"": 0.48837209302325585, ""desc_sim"": 0.03547257794755617, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015384615384615385}"
T1047,CWE-67,0.2063,boost_common_term:windows,"{""title_sim"": 0.45333333333333337, ""desc_sim"": 0.045034841545133555, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.033783783783783786}"
T1156,CWE-508,0.2604,boost_common_term:malicious,"{""title_sim"": 0.6206896551724138, ""desc_sim"": 0.06157820620924411, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02857142857142857}"
T1156,CWE-473,0.2497,boost_common_term:modification,"{""title_sim"": 0.6, ""desc_sim"": 0.04369765555727484, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03296703296703297}"
T1156,CWE-553,0.2453,boost_common_term:shell,"{""title_sim"": 0.4210526315789474, ""desc_sim"": 0.19929924036186142, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04597701149425287}"
T1113,CWE-1164,0.1612,,"{""title_sim"": 0.48275862068965514, ""desc_sim"": 0.03358378233598102, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03125}"
T1113,CWE-448,0.1601,,"{""title_sim"": 0.5, ""desc_sim"": 0.03351129534826773, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1113,CWE-415,0.1574,,"{""title_sim"": 0.48, ""desc_sim"": 0.030621082718893702, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02127659574468085}"
T1027.011,CWE-515,0.2914,boost_common_term:storage;boost_subtech_title_match,"{""title_sim"": 0.6086956521739131, ""desc_sim"": 0.08082759035415887, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022598870056497175}"
T1027.011,CWE-591,0.2596,boost_subtech_title_match,"{""title_sim"": 0.6086956521739131, ""desc_sim"": 0.1225087812958994, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05142857142857143}"
T1027.011,CWE-921,0.2439,boost_subtech_title_match,"{""title_sim"": 0.6086956521739131, ""desc_sim"": 0.08438192355624304, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.030120481927710843}"
T1067,CWE-511,0.1277,,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.047844789645161034, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.021505376344086023}"
T1067,CWE-1071,0.1163,,"{""title_sim"": 0.34782608695652173, ""desc_sim"": 0.032347971626580915, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.011363636363636364}"
T1067,CWE-667,0.1099,,"{""title_sim"": 0.34782608695652173, ""desc_sim"": 0.01857301657443818, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1037,CWE-455,0.2812,boost_common_term:initialization,"{""title_sim"": 0.6376811594202898, ""desc_sim"": 0.0999264415531295, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04950495049504951}"
T1037,CWE-665,0.2485,,"{""title_sim"": 0.7567567567567568, ""desc_sim"": 0.06364680335509267, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.011904761904761904}"
T1037,CWE-1204,0.2465,boost_common_term:initialization,"{""title_sim"": 0.5679012345679013, ""desc_sim"": 0.0794517824004858, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.011363636363636364}"
T1557,CWE-617,0.1365,,"{""title_sim"": 0.38095238095238093, ""desc_sim"": 0.04820255903590741, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03896103896103896}"
T1557,CWE-437,0.1353,,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.08429041740143862, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1557,CWE-1164,0.1263,,"{""title_sim"": 0.368421052631579, ""desc_sim"": 0.03600513672183828, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024691358024691357}"
T1033,CWE-1007,0.2060,boost_common_term:user,"{""title_sim"": 0.37777777777777777, ""desc_sim"": 0.116690741358952, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.038461538461538464}"
T1033,CWE-446,0.1998,boost_common_term:user,"{""title_sim"": 0.41935483870967744, ""desc_sim"": 0.06339039673867676, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024793388429752067}"
T1033,CWE-356,0.1991,boost_common_term:user,"{""title_sim"": 0.3513513513513513, ""desc_sim"": 0.10787915690261406, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.056451612903225805}"
T1583,CWE-682,0.1493,,"{""title_sim"": 0.46511627906976744, ""desc_sim"": 0.0198451165041825, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018867924528301886}"
T1583,CWE-696,0.1483,,"{""title_sim"": 0.4782608695652174, ""desc_sim"": 0.009990520623426136, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009259259259259259}"
T1583,CWE-1420,0.1472,,"{""title_sim"": 0.4146341463414634, ""desc_sim"": 0.057413417421316316, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.028037383177570093}"
T1218.011,CWE-252,0.1144,,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.030386129005688663, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.026595744680851064}"
T1218.011,CWE-674,0.1090,,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.016238338698583668, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.020833333333333332}"
T1218.011,CWE-1041,0.0981,,"{""title_sim"": 0.2758620689655173, ""desc_sim"": 0.03299213208624485, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02702702702702703}"
T1613,CWE-1229,0.2473,boost_common_term:resource,"{""title_sim"": 0.5573770491803279, ""desc_sim"": 0.0722453222605843, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04225352112676056}"
T1613,CWE-908,0.2386,boost_common_term:resource,"{""title_sim"": 0.5901639344262295, ""desc_sim"": 0.02823365390701306, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015384615384615385}"
T1613,CWE-226,0.2368,boost_common_term:resource,"{""title_sim"": 0.4666666666666666, ""desc_sim"": 0.10417669502762286, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.07792207792207792}"
T1583.007,CWE-126,0.1471,,"{""title_sim"": 0.4615384615384615, ""desc_sim"": 0.013314005488354297, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.023255813953488372}"
T1583.007,CWE-416,0.1384,,"{""title_sim"": 0.41666666666666663, ""desc_sim"": 0.0253997490523788, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.028846153846153848}"
T1583.007,CWE-114,0.1345,,"{""title_sim"": 0.4, ""desc_sim"": 0.032496069760662154, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.023529411764705882}"
T1143,CWE-912,0.2306,,"{""title_sim"": 0.631578947368421, ""desc_sim"": 0.11434971910210634, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03418803418803419}"
T1143,CWE-65,0.2282,,"{""title_sim"": 0.6666666666666665, ""desc_sim"": 0.06787061763402177, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03937007874015748}"
T1143,CWE-507,0.1957,boost_common_term:hidden,"{""title_sim"": 0.32, ""desc_sim"": 0.12037416117337996, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.06779661016949153}"
T1161,CWE-464,0.2235,boost_common_term:addition,"{""title_sim"": 0.5333333333333333, ""desc_sim"": 0.036348332887521526, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.013157894736842105}"
T1161,CWE-216,0.1308,boost_common_term:addition,"{""title_sim"": 0.22535211267605632, ""desc_sim"": 0.0372003514401811, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.010309278350515464}"
T1161,CWE-287,0.1297,,"{""title_sim"": 0.35555555555555557, ""desc_sim"": 0.051610812985236336, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0379746835443038}"
T1132.001,CWE-838,0.3782,boost_common_term:encoding;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.33067696832205423, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03508771929824561}"
T1132.001,CWE-261,0.3581,boost_common_term:encoding;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.2736318692955329, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02}"
T1132.001,CWE-116,0.3562,boost_common_term:encoding;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.24723441364741525, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1027.009,CWE-506,0.2558,boost_subtech_title_match,"{""title_sim"": 0.65, ""desc_sim"": 0.09745174586932324, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.007936507936507936}"
T1027.009,CWE-114,0.1559,boost_common_term:payloads,"{""title_sim"": 0.25, ""desc_sim"": 0.09290830513084823, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015037593984962405}"
T1027.009,CWE-259,0.1431,,"{""title_sim"": 0.46511627906976744, ""desc_sim"": 0.011995843222202787, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1150,CWE-473,0.3080,boost_common_term:modification,"{""title_sim"": 0.8, ""desc_sim"": 0.03860531945019079, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.031914893617021274}"
T1150,CWE-1037,0.2633,,"{""title_sim"": 0.8, ""desc_sim"": 0.05432397982363636, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03488372093023256}"
T1150,CWE-733,0.2618,,"{""title_sim"": 0.8, ""desc_sim"": 0.04912375277801039, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03529411764705882}"
T1556.003,CWE-1390,0.3647,boost_common_term:authentication;boost_subtech_title_match,"{""title_sim"": 0.8484848484848484, ""desc_sim"": 0.06990915827089085, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04597701149425287}"
T1556.003,CWE-306,0.2986,boost_common_term:authentication;boost_subtech_title_match,"{""title_sim"": 0.6086956521739131, ""desc_sim"": 0.08863699839077538, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.047058823529411764}"
T1556.003,CWE-603,0.2936,boost_common_term:authentication;boost_subtech_title_match,"{""title_sim"": 0.6086956521739131, ""desc_sim"": 0.08017951632917028, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.034482758620689655}"
T1578.004,CWE-1063,0.2452,boost_common_term:instance,"{""title_sim"": 0.5517241379310345, ""desc_sim"": 0.0898557880358411, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0136986301369863}"
T1578.004,CWE-1082,0.2432,boost_common_term:instance,"{""title_sim"": 0.5517241379310345, ""desc_sim"": 0.08358618168679048, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01282051282051282}"
T1578.004,CWE-793,0.2402,boost_common_term:instance,"{""title_sim"": 0.5517241379310345, ""desc_sim"": 0.06610412641675062, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024390243902439025}"
T1148,CWE-564,0.0840,,"{""title_sim"": 0.22857142857142862, ""desc_sim"": 0.034277154529144094, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02564102564102564}"
T1148,CWE-62,0.0821,,"{""title_sim"": 0.16, ""desc_sim"": 0.0580442869767827, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.08333333333333333}"
T1148,CWE-589,0.0807,,"{""title_sim"": 0.16216216216216212, ""desc_sim"": 0.057364653473614614, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.07407407407407407}"
T1592,CWE-541,0.2468,boost_common_term:information,"{""title_sim"": 0.5365853658536586, ""desc_sim"": 0.09010829969932134, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04411764705882353}"
T1592,CWE-221,0.2459,boost_common_term:information,"{""title_sim"": 0.5862068965517241, ""desc_sim"": 0.05718277835740204, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014184397163120567}"
T1592,CWE-213,0.2456,boost_common_term:information,"{""title_sim"": 0.5365853658536586, ""desc_sim"": 0.09292435155768801, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03355704697986577}"
T1596.003,CWE-298,0.2447,boost_common_term:certificates,"{""title_sim"": 0.49230769230769234, ""desc_sim"": 0.12989252502824894, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04}"
T1596.003,CWE-599,0.1989,,"{""title_sim"": 0.5245901639344263, ""desc_sim"": 0.12553606485912436, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.019417475728155338}"
T1596.003,CWE-295,0.1977,,"{""title_sim"": 0.5490196078431372, ""desc_sim"": 0.11006870171340967, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1056.001,CWE-778,0.1472,,"{""title_sim"": 0.4666666666666666, ""desc_sim"": 0.013271298327269879, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016}"
T1056.001,CWE-779,0.1392,,"{""title_sim"": 0.4, ""desc_sim"": 0.05353139439021435, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015625}"
T1056.001,CWE-385,0.1314,,"{""title_sim"": 0.3870967741935484, ""desc_sim"": 0.03002390383843655, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03125}"
